docno,title,producer,genre,description,num_episodes,rating,num_reviews,link
184kiuah,Crime Pays But Botany Doesn't,Tony Santore,Science,"An antidote to the nausea caused by life in modern society via explorations of the cast of plant species composing the ""living skin"" of Planet Earth.",114,4.9,331,https://podcasts.apple.com/us/podcast/crime-pays-but-botany-doesnt/id1458563601
8seknsaq,Slay Girl Slay,Ashley Leggs,Education,"The Slay Girl Slay podcast is a space created to uplift, motivate, and inspire women of color to be fearless in the pursuit of their dreams, go after what they deserve, and show up as their most unapologetic, most authentic selves. This audio series was created for every woman who is on the verge of her come up, creating her own vibe, and transforming her life. The Slay Girl Slay podcast is hosted by Ashley Leggs, Founder of the Slay Girl Slay media brand.",132,4.9,1900,https://podcasts.apple.com/us/podcast/slay-girl-slay/id1332402254
ujtb7xgz,Sinisterhood,Cloud10 and iHeartPodcasts,Comedy,"Dallas based comedians and friends, Christie Wallace and Heather McKinney, focus on a different true crime, cult, or creepy topic each week ""and chat all things sinister in this funny and well-researched podcast."" (Marie Claire, 2020)",293,4.8,4700,https://podcasts.apple.com/us/podcast/sinisterhood/id1391483100
9b6yz3f4,Dimension 20,CH Media,Comedy,"Brennan Lee Mulligan is your game master in FANTASY HIGH, the first season in the DIMENSION 20 roleplaying anthology! Your CH cast favorites return to take on the Aguefort Adventuring Academy, now available as an audio podcast!",41,4.8,1000,https://podcasts.apple.com/us/podcast/dimension-20/id1485306667
gdra8xhj,There Are No Girls on the Internet,iHeartPodcasts,Technology,"Marginalized voices have always been at the forefront of the internet, yet our stories often go overlooked. Bridget Todd chronicles our experiences online, and the ways marginalized voices have shaped the internet from the very beginning. We need monuments to all of the identities that make being online what it is. So let’s build them.",155,4.0,639,https://podcasts.apple.com/us/podcast/there-are-no-girls-on-the-internet/id1520715907
85pu5mvm,GUNDOG,Realm,Fiction,"From the writer of The Book of Eli and co-writer of Rogue One: A Star Wars Story comes an all-new sci-fi epic performed by Shannon Woodward (Westworld, The Last of Us Part II). In the near future, Earth has been conquered by a race of brutal alien machines known as the Mek. When a young woman stumbles across a mysterious map that may hold the secret to humanity’s liberation, she embarks on a dangerous odyssey that leads her to an amazing discovery — a long-lost prototype war machine known as a Gundog. Now she must confront a legacy she never knew she had to face down an overwhelmingly superior enemy in the hope of sparking a new flame of human resistance...",10,4.7,149,https://podcasts.apple.com/us/podcast/gundog/id1631586716
k0p166fr,Scary Horror Stories by Dr. NoSleep,Dr. NoSleep,Fiction,"The most terrifying horror stories on the internet. New stories weekly. Click follow to receive all notifications. �� YouTube channel: https://youtube.com/c/DrNoSleep� Ad-free episodes + bonus episodes: patreon.com/DrNoSleep� Dr. NoSleep Merchandise: drnosleep.com✅ Advertising Inquiries: This podcast is represented by True Native Media. Email all advertising inquiries to info@truenativemedia.com.� Business Inquiries: business@drnosleep.com* * *EXPLICIT CONTENT DISCLAIMER:This podcast contains explicit content intended for adults 18 years of age or older. These stories are NOT intended for children under the age of 18. Parental guidance is strongly advised for children under the age of 18. Listener discretion is advised.COPYRIGHT WARNING:The use of any affiliated audio of these episodes is not allowed, as it is a direct violation of copyright law and will result in legal action.Copyright © 2022 Dr. NoSleep#drnosleep #horrorstories #scarystories #doctornosleep #horror #horrorpodcast #scary",361,4.8,1300,https://podcasts.apple.com/us/podcast/scary-horror-stories-by-dr-nosleep/id1501406448
tloaa3v1,For Your Benefit,Federal News Network | Hubbard Radio,Government,"Host Bob Leins and presenters from NITP, Inc., the national leader in Federal retirement planning seminars, present topics of interest to the Federal community including Federal benefits, Social Security, financial planning, TSP and estate planning.",84,4.2,29,https://podcasts.apple.com/us/podcast/for-your-benefit/id1012459188
pdnunlc9,CNN One Thing,CNN,News,"You’ve been overwhelmed with headlines all week – what's worth a closer look? One Thing takes you into the story and helps you make sense of the news everyone's been talking about. Each Sunday, host David Rind interviews one of CNN’s world-class reporters to tell us what they've found – and why it matters. From the team behind CNN 5 Things.",56,4.4,38,https://podcasts.apple.com/us/podcast/cnn-one-thing/id1640318521
qzkpik3z,General Conference Podcast,The Church of Jesus Christ of Latter-day Saints,Religion & Spirituality,"Messages of hope, peace, and of our Savior Jesus Christ from the most recent General Conference of The Church of Jesus Christ of Latter-day Saints.",109,4.8,467,https://podcasts.apple.com/us/podcast/general-conference-podcast/id1490483249
rxn5lges,Inside Trader Joe's,Trader Joe's,Arts,"From our humble beginnings as a small chain of eclectic Southern California convenience stores, Trader Joe’s has grown to become a national chain of 537 (and counting) neighborhood grocery stores, employing more than 50,000 Crew Members.  How?  By being comfortable with being different. Every episode takes you Inside Trader Joe’s in a podcast series only Trader Joe's could deliver.  Are you a Trader Joe’s fan?  Want to know what keeps people coming back? Hungry for all the new and exciting stuff coming to your neighborhood store?  Let's go Inside Trader Joe’s. Thanks for listening.",60,4.8,4000,https://podcasts.apple.com/us/podcast/inside-trader-joes/id1375630453
05lnj3w0,Fox Across America w/ Jimmy Failla,Fox News,News,"Jimmy Failla - former head writer and on-air contributor for ""Kennedy"" on the Fox Business Network - says Fox Across America is best described as ""a celebration of our unique American privilege, and will function as an audio safe space where people of all political persuasions can disagree and still get along!"" Today's political climate is sorely in need of talent with the unifying ability to allow both sides to debate the issues straight up. Be sure to join Jimmy and his special guests: Emily Compagno, Kennedy, Lara Trump, Lou Dobbs, Judge Andrew Napalitano, Harris Faulkner, John Rich, Jim Gaffigan, and many more.",575,4.3,576,https://podcasts.apple.com/us/podcast/fox-across-america-w-jimmy-failla/id1072469956
p5sig1en,In Trust,iHeartPodcasts and Bloomberg,Society & Culture,"A hundred and fifty years ago, the Osage Nation bought a stretch of prairie the size of Delaware, in what's now Oklahoma. The Osage owned the land and everything beneath it. Today, much of present-day Osage County has left Osage hands. In some cases, appropriation was swift and brutal: Dozens of Osages were murdered for their share of lucrative mineral rights to this oil-rich land, a period often referred to as the Reign of Terror. But other transfers of wealth played out more subtly—dollar by dollar and acre by acre, over decades—helped along by policies created by the US government.Learn more and follow our listener guides at bloomberg.com/intrust.",10,4.7,173,https://podcasts.apple.com/us/podcast/in-trust/id1635407345
3f31j4cy,Chatty Broads with Bekah and Jess,Chatty Broads with Bekah and Jess,Comedy,"A couple of opinionated broads (Bekah Martinez and Jess Ambrose) hold nothing back in their arguably uncomfortable, occasionally serious, and undeniably funny chats ranging from Bachelor(ette) Recaps to sex to spirituality to breastfeeding and more.",438,4.7,22900,https://podcasts.apple.com/us/podcast/chatty-broads-with-bekah-and-jess/id1441571050
2z14p4oh,Adventure a Dungeons and Dragons Podcast,MisAdventureland,Leisure,"Dungeons and Dragons actual play podcast hosted by Bobby Shortle, Jacqui Turner, Brian Verderosa, Justin Reilly, and Bob Reyer. Each episode of Adventure is fully produced with soundscapes, music, and SFX from our resident druid Justin Reilly.  Go on thrilling and ridiculous adventures with first time D & D players.",94,4.8,373,https://podcasts.apple.com/us/podcast/adventure-a-dungeons-and-dragons-podcast/id1137465844
finpjfuz,Search Off the Record,Google,Technology,"Search Off the Record takes you behind the scenes of Google Search and its inner workings! In each episode, the folks from the Search Relations team will give you background info on the decision-making behind launches, feature prioritization in Search Console, and the projects Google Search teams are working on. They will share fun stories from the many conferences they attend as well as from their day-to-day working life at Google. They will also dive into the currently trending conversations in the SEO community at large. Have a listen!",100,4.0,61,https://podcasts.apple.com/us/podcast/search-off-the-record/id1512522198
y0m1utug,Affirmation Babe,Affirmation Babe,Education,"You have been conditioned to settle for less than you deserve. We create modern, mindful and motivational affirmations to help reprogram your mind for abundance so you can attract everything you want in life.Affirmation Babe Affirmations can be paired with other healthy lifestyle habits such as therapy, meditation, manifestation, tapping & prayer.Use the power of Affirmations to be, do and have anything you want in life. Mindful affirmations for the modern woman.You CAN Have It AllCreated by Ashley Diana@missashleydiana@theaffirmationbabe",184,4.9,1100,https://podcasts.apple.com/us/podcast/affirmation-babe/id1509396747
j7fx64k1,"The Ten News, News For Curious Kids",The Ten News,Kids & Family,"Interested in what's going on around you? � The Ten News podcast is a bite-sized podcast for kids and their adults that explains what’s going on in the world. � Each episode explores topics kids care about most including events, sports, science, gaming, pop culture, entertainment, and more! �️ The Ten News also features some pretty awesome guests; LEGO Masters Judge Amy Corbett, America’s top doctor Dr. Anthony Fauci, Sarah Natochenny, the voice of Ash Ketchum for Pokemon fans, and many more. � It’s a great way for you and your family to stay connected with what’s going on in the world. � The Ten News is also a Common Sense Media Selection as a great podcast for kids!",302,4.6,350,https://podcasts.apple.com/us/podcast/the-ten-news-news-for-curious-kids/id1514325670
qifqc89z,The Chuck ToddCast: Meet the Press,NBC News,News,"Chuck Todd at his best – unscripted, informed and focused on what really matters in politics. Join Chuck each Wednesday as he talks with top reporters from the nation’s capital, plus exclusive sit-down interviews and on-the-ground dispatches from across the campaign trail.",457,3.9,2200,https://podcasts.apple.com/us/podcast/the-chuck-toddcast-meet-the-press/id1156592336
1xacvavs,The Official Adventures in Odyssey Podcast,Focus on the Family,Kids & Family,"Get the latest news and go behind-the-scenes of the world's #1 family audio drama, 'Adventures in Odyssey'! In 'The Official Adventures in Odyssey Podcast', you'll hear fun stories straight from the show's actors -- and 'Adventures in Odyssey' producers regularly answer fan questions submitted at AdventuresinOdyssey.com/Podcast. New editions available every other Wednesday. Subscribe now to get each new edition right when it releases!",423,4.3,1900,https://podcasts.apple.com/us/podcast/the-official-adventures-in-odyssey-podcast/id193181775
cbzd8ybv,Friends From Work: An Unofficial Marvel Podcast - Now Playing Black Panther,Friends From Work,TV & Film,"A podcast about all things in the Marvel Cinematic Universe, hosted by friends Kyle Schonewill and Robby Earle.",225,4.8,529,https://podcasts.apple.com/us/podcast/friends-from-work-an-unofficial-marvel-podcast-now/id1479133426
ikq38rm1,The Michael Steele Podcast,Two Squared Media Productions,News,"The Michael Steele Podcast is a podcast hosted by former Republican National Committee Chairman and Maryland Lt. Governor Michael Steele. Each week, Michael moderates a barbershop style discussion about the key political and cultural issues of the day. Michael brings his experience as an MSNBC political analyst and from a lifetime in politics to a podcast which transcends traditional political boundaries in order to dig deep and find real solutions.",365,4.8,2100,https://podcasts.apple.com/us/podcast/the-michael-steele-podcast/id1412905534
epz7fvnx,Noble Blood,Grim & Mild,History,"Author Dana Schwartz explores the stories of some of history’s most fascinating royals: the tyrants and the tragic, the murderers and the murdered, and everyone in between. Because when you’re wearing a crown, mistakes often mean blood.",104,4.7,11800,https://podcasts.apple.com/us/podcast/noble-blood/id1468332063
u4649rtx,Pioneering Today,Melissa K Norris,Leisure,"Pioneering Today is all about getting back to basics, simple living, and self-sufficiency with old-fashioned skills and wisdom in a modern world. With heirloom gardening, canning, preserving the harvest, from scratch cooking, raising your own food, including livestock (backyard chickens, pigs, and cattle), natural medicine, herbs, DIY like soap making along with living a simple self-sufficient life, no matter where you live. Hosted by 5th generation homesteader, Melissa K. Norris, author of The Made-from-Scratch Life. This podcast brings you the conversation from MelissaKNorris.com and The Pioneering Today Academy, with Q&A's, teaching, tutorials, and always giving you practical ways and tips to live the simple and self-sufficient life.",363,4.8,764,https://podcasts.apple.com/us/podcast/pioneering-today/id677542913
tg0tczni,The National Security Law Podcast,Bobby Chesney and Steve Vladeck,Government,"The National Security Law Podcast (aka the NSL Podcast) is a weekly review of the latest legal controversies associated with the U.S. government’s national security activities and institutions, featuring Professors Bobby Chesney and Steve Vladeck of the University of Texas at Austin. They bring different perspectives to these issues, but always in a friendly spirit. The program is fast-paced but detail-rich, and is meant for lawyers and non-lawyers alike. If you’ve been looking for a thoughtful yet enjoyable way to keep up with and better understand these issues, the National Security Law Podcast is the show for you. To join the conversation, follow nslpodcast on Twitter (@nslpodcast).",226,4.8,601,https://podcasts.apple.com/us/podcast/the-national-security-law-podcast/id1201314368
0mtmodmo,Pretty Basic with Alisha Marie and Remi Cruz,Ramble,Society & Culture,"Welcome to Pretty Basic, a weekly podcast hosted by two, twenty-something year old best friends and digital creators, Alisha Marie & Remi Cruz. Each week they welcome listeners into their daily life for a special helping of the tea you're not getting from their wildly popular YouTube channels. From fun lighthearted conversations about dating to sharing their tips on how to feel more confident - each week you'll be left wanting more ""content, baby, content."" New episodes every Wednesday!",197,4.8,33400,https://podcasts.apple.com/us/podcast/pretty-basic-with-alisha-marie-and-remi-cruz/id1439655378
j6q2q0ko,Christmas Past,Brian Earl,Society & Culture,"Behind every Christmas tradition is a story, often a forgotten one. Every year as we put up a tree and pour the eggnog, we’re continuing generations-old narratives, while being mostly unaware of their starting chapters. Join Brian Earl to explore the fascinating stories behind the most wonderful time of the year. It's equal parts nerdy deep dive and warmhearted celebration. Think: NPR meets Clement Clarke Moore! Christmas Past is one of the longest running Christmas podcasts, now in its seventh season. Vanity Fair says: ""With excellent production, engaging narration, and short, digestible running times, Christmas Past is perfect to put on while decorating your tree or preparing Christmas dinner.""Brian's new book is out now from Lyons Press and Recorded books! Get your copy today, wherever books are sold. And remember...it makes a great gift!",188,4.9,607,https://podcasts.apple.com/us/podcast/christmas-past/id1168467948
nge1itgk,Where Should We Begin? with Esther Perel,Esther Perel Global Media & Gimlet,Society & Culture,"Listen to the incomparable therapist Esther Perel counsel real couples as they reveal the most intimate, personal, and complicated details of the conflicts that have brought them to her door. This season Esther speaks to a constellation of new relationships: A couple wrestling with the guilt they feel over the happiness their infidelity created. Another trying to make space for their queerness in an outwardly appearing hetero relationship. A set of friends trying to sort out if their childhood friendship needs to continue into adulthood. And Esther checks back in with couples from seasons past to see where they are now as she creates a space for us to hear our own lives and struggles articulated in the stories of others. So....where should we begin?",66,4.8,12300,https://podcasts.apple.com/us/podcast/where-should-we-begin-with-esther-perel/id1237931798
8t0jvrts,Rainbow Girl,Jane Green,Fiction,"It’s 1979, the lead guitarist of The Wide Eyed Boys, Eddie Allbright, and his supergroupie model wife, Lissy Ellery are one of the most famous and glamorous rock couples in the world. From the outside, their life looks like a dream, but behind closed doors too many drugs, too many affairs and too much black magic is creating a recipe that will either save them, or destroy them.An intimate look into the hedonistic life of a seventies rock band and their groupies, Rainbow Girl is for everyone who has ever wondered what it was really like to be with the band.A stand alone, set in the world of Jane Green's newest novel, Sister Stardust, Rainbow Girl mixes the glamor of The Rolling Stones with the partying of Studio 54, but can anything stop this marriage ending in a bloody, final mess. For a sneak preview head to www.emeraldaudio.net and sign up for Hidden Gems Book Club.",7,4.9,53,https://podcasts.apple.com/us/podcast/rainbow-girl/id1639921897
wzwpyvll,1001 Stories For The Road,Host Jon Hagadorn,Fiction,"Hosted by Jon Hagadorn, 1001 Stories For The Road is bringing back adventure with stories like ""Treasure Island"", ""The Secret Adversary"" by Agatha Christie, ""The Hound of the Baskervilles"", ""Tarzan of the Apes"", ""King Solomon's Mines"", ""The 39 Steps"", ""The Call of the Wild""- and many more. These stories are classic for a reason- they are great! And they are family friendly. We appreciate reviews-thank you!",279,4.7,398,https://podcasts.apple.com/us/podcast/1001-stories-for-the-road/id1227478901
26f0xddj,The Athletic Football Show: A show about the NFL,The Athletic,Sports,"The Athletic’s flagship football podcast covers the NFL like only The Athletic can. Robert Mays is joined by a team of world-class NFL writers and analysts including Mike Sando, Nate Tice, Diante Lee and more. They’ll break down the biggest stories throughout the world of football. Whether it’s happening on the field or behind-the-scenes, you’ll get an in-depth look at the NFL season and NFL Draft on The Athletic Football Show.",551,4.6,1900,https://podcasts.apple.com/us/podcast/the-athletic-football-show-a-show-about-the-nfl/id1528622068
gt2pwc9b,"Newbies: New Moms, New Babies",New Mommy Media,Kids & Family,"Join us as we guide new mothers through their baby’s first year of life. Newly postpartum moms celebrate the excitement of becoming new parents, as well as the emotional and physical struggles of recovering from childbirth and caring for a newborn baby.",54,4.2,143,https://podcasts.apple.com/us/podcast/newbies-new-moms-new-babies/id1037744604
fvfl0bn1,Girls Next Level,Holly Madison and Bridget Marquardt,Society & Culture,"Take a trip back to the early 2000's with Holly Madison and Bridget Marquardt, the stars of the E! network's iconic reality show The Girls Next Door. Each week, the girls take you inside the gates of the Playboy Mansion and behind the scenes of the hit show to break down what was real and what was fake. From the wild parties, the backstabbing drama, lifelong friendships and complicated relationships . . . it's here every Monday with a brand new episode of Girls Next Level.",16,4.9,8400,https://podcasts.apple.com/us/podcast/girls-next-level/id1637803173
x6m02voy,The Joel Klatt Show: A College Football Podcast,FOX Sports,Sports,"Joel Klatt breaks down the biggest topics in the world of college football. Joel relies on his experience on the field, detailed film analysis and unmatched preparation to give you the most consistent, fair and best analysis in the sport. Each week, Joel dives into his Top 10 teams, answers questions and discusses the biggest storylines in college football.",96,4.9,411,https://podcasts.apple.com/us/podcast/the-joel-klatt-show-a-college-football-podcast/id1037085984
qol5poan,Unexplained,Richard MacLean Smith,Society & Culture,"Unexplained is a haunting and unsettling bi-weekly podcast about strange and mysterious real life events that continue to evade explanation. A story-based show mixing spoken-word narrative, history and ideas - often to terrifying effect - that explores the space between what we think of as real and what is not; where sometimes belief can be as concrete as ‘reality,’ whatever that is…More info at www.unexplainedpodcast.com and on twitter @unexplainedpod and facebook.com/unexplainedpodcast",241,4.6,6700,https://podcasts.apple.com/us/podcast/unexplained/id1078112813
jfbtjg83,Oh Shoot! with Cassidy Lynne,Cassidy Lynne,Business,"Chat with Cassidy Lynne about how to grow as a photographer, as a business owner, and listen to tips + tricks that will make your business suceed.",96,4.8,265,https://podcasts.apple.com/us/podcast/oh-shoot-with-cassidy-lynne/id1572832134
4chfqgrc,The InnerFrench Podcast,innerFrench,Education,"Dive into fascinating topics by listening to your host Hugo, a French language teacher living in Poland. The speaking pace will be slightly slower than most real-life conversations in order to effectively improve your oral comprehension and easily expand your vocabulary in an enjoyable way.",120,4.9,1300,https://podcasts.apple.com/us/podcast/the-innerfrench-podcast/id1231472946
505i9na8,History of Everything,Stakuyi,History,This podcast takes deep dives into history every week from the history of potatoes to the bloodiest battles.,54,4.8,342,https://podcasts.apple.com/us/podcast/history-of-everything/id1598692909
sa5snfby,My AudioNerds,Devvon Terrell,Technology,"The AudioNerds Podcast was created for audio enthusiast. Ranging from mixing engineers, mastering engineers, producers and artist alike. We discuss plugins, DAWs, our favorite mixers, and even tips and tricks we encounter everyday from using Pro Tools, Logic, FL Studio, Ableton, Studio One, Cubase and many more. If you are an Audio Nerd this is the podcast you never knew you needed",13,5.0,36,https://podcasts.apple.com/us/podcast/my-audionerds/id1643832213
gynpp0rn,Always Hold On To Smallville,Zach Moore,TV & Film,Always Hold On To Smallville is a podcast dedicated to discussing every episode of the series that ushered in the renaissance of superhero TV...Smallville!,222,4.8,174,https://podcasts.apple.com/us/podcast/always-hold-on-to-smallville/id1080260981
a0kh4kap,First Person,The New York Times,News,"Every opinion starts with a story. Intimate conversations about the big ideas shaping our world, hosted by journalist Lulu Garcia-Navarro. From New York Times Opinion.",12,4.5,429,https://podcasts.apple.com/us/podcast/first-person/id1624946521
2ma564ej,KidNuz,KidNuz,Kids & Family,"KidNuz: Kids deserve a daily newscast all their own. Kickstart their morning with 5 minutes of timely, unbiased, and age-appropriate stories from politics, entertainment, science, health, and sports. Professionally written, professionally delivered by 4 Emmy winning journalists who also happen to be moms. Listen in five days a week, starting at 7 am.",299,4.7,1100,https://podcasts.apple.com/us/podcast/kidnuz/id1418029100
daheoyro,The Emerald,Joshua Schrei,Arts,"Hi everyone. I'm Josh. I'm a writer. A teacher. A lifelong student of world mythologies and cosmologies. This podcast is called The Emerald: Currents and Trends Through a Mythic Lens. Offering perspectives on everything from current global events to cultural movements in art, science, music, literature, yoga practice, and politics, all through the framework of myth, story and imagination. The Emerald. All that's happening on this green jewel in space.",72,5.0,171,https://podcasts.apple.com/us/podcast/the-emerald/id1465445746
ee7lhyzr,Decoding TV Presents: Decoding Reality,Decoding Reality,TV & Film,"In Decoding Reality, amazing co-hosts from around the internet analyze the latest and greatest reality TV shows.Decoding Reality is a Decoding TV podcast.",4,4.9,17,https://podcasts.apple.com/us/podcast/decoding-tv-presents-decoding-reality/id1651437848
mrst93rh,Murder & Magnolias,Dateline NBC,True Crime,"They were the very picture of a perfect couple in the land of Spanish moss and sweet magnolias. But when a hit man targets one of them, a story of betrayal and murderous intent unfolds. In Dateline’s latest podcast, Keith Morrison takes us to the Low Country of South Carolina to tell the twisted tale.  Follow now to get the latest episodes of Murder & Magnolias each week completely free, or subscribe to Dateline Premium on Apple Podcasts for early access and ad-free listening: apple.co/datelinepremium",3,4.5,212,https://podcasts.apple.com/us/podcast/murder-magnolias/id1652973017
1e3pthel,No Laying Up - Golf Podcast,No Laying Up Network,Sports,"Fresh, funny discussions about the world of golf from the guys at www.nolayingup.com",400,4.8,5800,https://podcasts.apple.com/us/podcast/no-laying-up-golf-podcast/id880837011
9vnthmfn,Talking Tudors,talkingtudors,History,A podcast for lovers of Tudor history.,100,4.8,363,https://podcasts.apple.com/us/podcast/talking-tudors/id1413504428
qav5okgk,Build Your Tribe | Grow Your Business with Social Media,Chalene Johnson,Business,"Whether you’re a seasoned entrepreneur or desperate to quit your day job, this show has you covered. Hosts Chalene and Brock Johnson bring both perspectives - whether your goal is to earn extra income on the side, or take the growth of your online business to the next level. Get top tips to build social media, grow your email list, develop digital marketing strategies, boost automated sales and create additional streams of income on a limited budget. Learn to share your story and convert followers into loyal customers with New York Times Best Selling Author, Business Coach & Serial Entrepreneur Chalene Johnson and her son Brock Johnson, Part-Time Entrepreneur, Speaker and Story-Telling Strategist. Enjoy expert guest interviews and quick episodes with actionable steps. Whether you’re a business owner, aspiring entrepreneur or someone who just wants to make extra money on the side, this is your show!",633,4.9,2500,https://podcasts.apple.com/us/podcast/build-your-tribe-grow-your-business-with-social-media/id910990031
uo185173,Your New Puppy: Dog Training and Dog Behavior Lessons to Help You Turn Your New Puppy into a Well-Behaved Dog,Debbie Cilento: Dog Trainer | Dog Behavior Consultant | Owner of Playtime Paws | Belly Rub Specialist,Kids & Family,"Your host, Debbie (owner of Playtime Paws), is a positive trainer with a passion for dogs, their behavior and helping you create a well-behaved dog. This is a dog training and behavior podcast that with help you and your new puppy build good healthy habits right from the start.  It will also help you understand your dog’s behavior and build a strong, fulfilling, and fun relationship for years to come.",88,4.8,728,https://podcasts.apple.com/us/podcast/your-new-puppy-dog-training-and-dog-behavior-lessons/id1230953658
ufjjengt,The Last Movie,Public Radio Alliance,Fiction,"Tanis podcast host Nic Silver and regular contributor MK, explore the possible existence of ""The Last Movie,"" an infamous underground feature film, reputed to drive you insane. Legend has it that every screening of this film was surrounded by bloodshed and controversy: one reviewer actually described slipping on blood in the aisle, as he ran through dozens of people trying to tear him apart.",14,4.5,2000,https://podcasts.apple.com/us/podcast/the-last-movie/id1360493241
uvv06b4n,Net Positive with John Crist,Lagos Creative,Comedy,"Welcome to Net Positive, a comedy podcast hosted by comedian John Crist. This show is your primary source for bold takes, emotionally-charged rants, questionable advice, incorrect statistics, and more. New episodes drop every Thursday on all podcast platforms, and you can catch full video episodes and more on YouTube. This podcast won't solve all the world's problems, but on the net... It's a positive. Catch the video podcast on YouTube, and follow us on social media (@netpositivepodcast) for clips, bonus content, and updates throughout the week. Produced by: Alex Lagos / Lagos Creative",29,4.8,428,https://podcasts.apple.com/us/podcast/net-positive-with-john-crist/id1621748407
febjiiwn,History That Doesn't Suck,Prof. Greg Jackson,History,"HTDS is a bi-weekly podcast, delivering a legit, seriously researched, hard-hitting survey of American history through entertaining stories. To keep up with History That Doesn’t Suck news, check us out on Facebook and Instagram: @Historythatdoesntsuck; on Twitter: @HTDSpod; or online at htdspodcast.com. Support the podcast at patreon.com/historythatdoesntsuck.",139,4.7,3500,https://podcasts.apple.com/us/podcast/history-that-doesnt-suck/id1291579828
mlrzfbc0,Rogers Waterfowl Podcast,Rogers Sporting Goods,Sports,"The Rogers Waterfowl Podcast provides an in-depth look into all things relating to waterfowl hunting. We talk with all sorts of companies and gear manufacturers, from decoys to calls, to clothing and ammo. We're also going to provide you with tips and tactics and point out some of the most common mistakes. This podcast will be weekly, dropping each week on Wednesday.",50,4.7,122,https://podcasts.apple.com/us/podcast/rogers-waterfowl-podcast/id1420165684
egy1d90x,The Problem With Jon Stewart,Apple TV+,TV & Film,"The issues we tackle on The Problem With Jon Stewart are Too Big for TV™—so they spill over into the brilliantly titled The Problem With Jon Stewart podcast. Jon is joined by the staff and expert guests for nuanced discussions, updates on action items, and airing of grievances from writers over jokes that didn’t make the show.The Problem With Jon Stewart is an Apple TV+ podcast produced by Busboy Productions.",40,4.4,3900,https://podcasts.apple.com/us/podcast/the-problem-with-jon-stewart/id1583132133
f9cgt2z3,Babel: Translating the Middle East,Center for Strategic and International Studies,Government,"Babel will take you beyond the headlines to discuss what’s really happening in the Middle East and North Africa. It features regional experts who explain what’s going on, provide context on pivotal developments, and highlight trends you may have missed. Jon Alterman, senior vice president, Zbigniew Brzezinski Chair in Global Security and Geostrategy, and director of the Middle East Program at the Center for Strategic and International Studies hosts the podcast along with his colleagues from the Middle East Program. This podcast is made possible through the generous support of the Embassy of the United Arab Emirates. All views, positions, and conclusions expressed here should be understood to be solely of those of the speaker(s).",155,4.8,58,https://podcasts.apple.com/us/podcast/babel-translating-the-middle-east/id1479606317
crolji1q,Take Out Therapy,"Rebecca Hunter, MSW",Health & Fitness,"Self-help for people in a hurry for change! Quick, 20 minute practical lessons on everyday problems, from an experienced therapist and anxiety expert. A quick session will do you good! Healthy relationships and sustainable mental health are skills you can learn, right here. Rebecca Hunter, MSW is a small town therapist who helps chronically stressed people slow down, find balance and discover themselves. Join the movement at at www.rebeccahuntermsw.com/backtocalm",117,4.9,132,https://podcasts.apple.com/us/podcast/take-out-therapy/id1481635658
r8m6cgv8,World Cafe Words and Music Podcast,WXPN Listener Supported Radio,Music,WXPN's live performance and interview program featuring music and conversation from a variety of important musicians,40,4.1,309,https://podcasts.apple.com/us/podcast/world-cafe-words-and-music-podcast/id107541824
v5y9s97b,Dumb Blonde,Dumb Blonde Productions,Comedy,"Your favorite female Shock Jock. Also, the degenerate love child of Dolly Parton & Dr. Ruth.",99,4.9,2500,https://podcasts.apple.com/us/podcast/dumb-blonde/id1465273008
e67ky5tr,"Betwixt The Sheets: The History of Sex, Scandal & Society",History Hit,History,"Why did kings and queens have spectators on their wedding night? Who had the very first boob job? And did our ancestors have their unmentionables pierced?Join historian, Kate Lister, Betwixt the Sheets as she unashamedly roots around the topics which seem to have been skipped in history class.Everything from landmark LGBTQ+ court cases, to political scandal, to downright bizarre medieval cures for impotence. The etymology of swear words, gender bias in medicine, and satanic panic and cults - there’s nothing off limits.She'll be bed-hopping around different time periods; from ancient civilisations, to the middle ages, to renaissance and early modern...right up to now.You’ll laugh, you’ll wince, and you’ll ask yourself how much has actually changed.So join Kate Betwixt the Sheets: The History of Sex, Scandal & Society - a podcast from History Hit. Hosted on Acast. See acast.com/privacy for more information.",61,4.8,219,https://podcasts.apple.com/us/podcast/betwixt-the-sheets-the-history-of-sex-scandal-society/id1612090432
unr44dvp,The Kit & Krysta Podcast,The Kit & Krysta Podcast,Leisure,"Your new favorite video game podcast, hosted by Kit Ellis and Krysta Yang, formerly of Nintendo Minute.",41,4.8,304,https://podcasts.apple.com/us/podcast/the-kit-krysta-podcast/id1609805414
vzbh457k,The Thing About Pam,Dateline NBC,True Crime,"Two days after Christmas, 2011, Russ Faria came home from game night to find his wife, Betsy, dead. He was soon charged and convicted of her murder. But Russ Faria insisted he did not kill his wife. Betsy’s brutal murder set off a chain of events that would leave one man dead, another man implicated, and expose a diabolical scheme. It would also see Dateline NBC—the true-crime original—become a part of the never-ending saga that proves the old adage: Truth is stranger than fiction. This original series from Keith Morrison and Dateline defies all expectations.",12,4.6,15200,https://podcasts.apple.com/us/podcast/the-thing-about-pam/id1479234915
