docno,title,description,genre,rating,num_reviews
5tkvsudh,Castle Super Beast,"Every week, the creators of Super Best Friends Play discuss the best and worst of the videogame industry, pop culture and get excessively hyped about things for no reason.",Leisure,4.9,2900
6lvn10f4,The Vergecast,"The Vergecast is the flagship podcast from The Verge about small gadgets, Big Tech, and everything in between. Every Friday, hosts Nilay Patel, David Pierce, and Alex Cranz hang out and make sense of the week’s most important technology news. And every Wednesday, David leads a selection of The Verge’s expert staffers in an exploration of how gadgets and software affect our lives – and which ones you should bring into yours.",Technology,4.4,3200
tvxpckxo,WELL FOR CULTURE,"Well For Culture is an Indigenous wellness initiative that focuses on healing intergenerational trauma and reimagining Indigenous futures through a holistic, ancestral-based approach to healing, health and wellness. WFC is based on the teaching that Indigenous cultural values, modalities of movements and original foods of our people are inherently based in wellness and are powerful tools for spiritual, mental, physical and emotional healing.",Health & Fitness,5.0,221
mcuixluu,Don't Call Me White Girl,"The Don't Call Me White Girl show features rising comedian and viral social media sensation Don't Call Me White Girl.  The Philadelphia native doesn't hold her tongue as she delivers her unique brand of insight, advice, and commentary in this highly entertaining weekly audio-visual podcast.",Society & Culture,4.9,2300
6iu1dtyl,Leading Saints Podcast,"Leading Saints is a nonprofit organization with a mission to help Latter-day Saints (LDS, Mormon) be better prepared to lead.Here are 4 ways Leading Saints accomplishes the above mission statement:1. Connect Latter-day Saint Leaders2. Enhance Leadership Ability3. Present Leadership Scholarship & Research4. Celebrate Divine GuidancePodcast Host:Kurt Francom is the founder and executive director of Leading Saints, a nonprofit organization helping Latter-day Saints be better prepared to lead. He manages the day-to-day efforts of Leading Saints and is the host of the podcast by the same name. Leading Saints has reached individuals internationally and has received over 2 million downloads. Kurt currently lives in Utah with his lovely wife Alanna. They are blessed to have three children. He enjoys drawing caricatures, playing basketball, reading, and watching college football. Kurt has served as a full-time missionary (California Sacramento), as a bishop, 1st counselor in a stake presidency, and elders quorum president.",Religion & Spirituality,4.8,943
t35n7bk9,The Paul Finebaum Show,Paul Finebaum provides his unique takes on the SEC and the world of college football.,Sports,4.0,777
eiqypt0m,Classified,"A new quick-witted mystery from the makers of Blackout and The Left Right Game, Classified follows Ivan Harris (WYATT RUSSELL), a slightly paranoid smooth talker who finds himself trapped in the mysterious Ravenholm Institute. Ivan claims to be sane, but his cries are ignored by the imposing Doctor Bell (MONICA POTTER), who insists that Ivan be treated until he’s free of his delusions. While enduring painful procedures and under the heavy watch of the attendants, Ivan formulates a plan of escape with the other patients. Ivan yearns to get back to his partner, Odessa, but does she even exist? Is Ivan really a trained killer? He is planning his escape with the help of his imaginary friend Lark (BRENT JENNINGS), so what is actually going on? And What does Ravenholm have to do with it all? Tune in to find out what happens to Ivan and his fellow band of misfits. Produced by QCODE. Created by Spenser Cohen and Anna Halberg. Starring Wyatt Russell, Brent Jennings & Monica Potter.",Fiction,4.6,581
sgmk96vr,Search and Seizure,SEARCH AND SEIZURE is a podcast for law enforcement officers providing case law updates and commentary on the latest developments in search and seizure law.  This podcast is sponsored by LEA ONE.,Government,4.9,8
di0fcy0j,Nontendo Podcast,"Nontendo Podcast is a weekly Nintendo podcast, hosted by Wood from Beatemups and Bob from Wulff Den.",Leisure,4.7,290
4k8f7ou1,1865,"April 15, 1865. President Lincoln is dead and the country in turmoil.Secretary of War Edwin Stanton takes control, determined to bring the assassin to justice—but the hunt for John Wilkes Booth isn’t all that grips Stanton.Lincoln’s successor, Vice President Andrew Johnson, is likely to bend to southern interests and undo the very progress for which Lincoln died. Edwin Stanton must employ every bit of political wile he can muster to secure the future of the freed slaves, and the nation.Consumed by his conviction, Stanton will betray his friends, his honor, and the very constitution he is sworn to protect, all to steer the country towards justice.***All episodes are available for free, with ad-free episodes available for Wondery+ subscribers.***1865 is an Airship production. Support this show to get early, ad-free access to episodes and more.",Fiction,4.8,2700
wnnsmx60,Toddlers Made Easy with Dr Cathryn,"Toddlers Made Easy is a short, 10 minute, bite-sized podcast that gives you the insight, tools, and confidence you need to not only handle anything toddler-related thrown your way —but prevent problem behaviors before they start. Toddlers Made Easy is hosted by Dr. Cathryn, a nationally recognized pediatrician with more than 30 years of experience and a mother of 4.",Kids & Family,4.9,32
gdsfkw1b,Got It From My Momma,"A podcast with the mommas of your favorite entertainers! Join host Jennifer Vickery Smith for the Got it From My Momma podcast!  We'll chat about family, fame, and faith with the mommas of your favorite entertainers. Listen as our guests share never before heard stories from the artist’s childhood and the journey to stardom from the perspective only a momma can share!",Music,5.0,2
yba7mdtb,Slow Radio,"An antidote to today’s frenzied world. Step back, let go, immerse yourself: it’s time to go slow.A lo-fi celebration of pure sound.",Science,3.9,152
bbvxu8op,It Was Said: Sports,"We hold speeches from the world of sports deep in our hearts and minds as timeless and historic moments that still, to this day and beyond, bring us inspiration, historical context, empathy, education and more. We remember these iconic moments so that we too can share them with current and future generations as a way to remember why they touched us personally, and why they remain so relevant and important today. Welcome to It Was Said: Sports, Season one, a documentary podcast that guides you through six of the most impactful and timeless speeches in sports history, including Jack Buck’s “For America” poem following the 9/11 attacks, Muhammad Ali protesting the Vietnam War, Billie Jean King championing equal pay, Tim Tebow’s promise, Hank Aaron’s Hall of Fame acceptance speech, and co-captain Harry Flournoy’s powerful statement on race during Texas Western's Basketball Hall of Fame induction. From the team that brought you the Webby Award-winning Best Series of 2021, It Was Said, comes the sports version of the franchise, narrated by NBA legend, Doc Rivers, written by Pulitzer-Prize Winning Historian, Jon Meacham, and directed, produced and created by award-winning C13Originals Studios, a Cadence13 company. With first-hand perspective behind some of the most memorable and influential moments in sports, propelled by the voice of Rivers, the writing of Meacham and the production of C13Originals, this timeless documentary is meant to inspire, educate, and keep these historical moments as relevant as ever, and for generations to come. It Was Said: Sports is a presentation of Shining City Audio, a C13Originals and Jon Meacham Studio.",History,4.9,134
e62cfqt7,The Activators‪!‬,"A Kids Podcast About Activism. Join kid activist Leo, founder of Dance for Justice, as he celebrates and amplifies kids who are activating social change by doing what they love.",Kids & Family,4.7,19
4cvy9u28,"Calm Pills - Soothing Space Ambient and Piano Music for Relaxing, Peaceful Sleep, Reading or Mindful Meditation","Calm Pills are ad-free soothing ambient albums, seamlessly mixed to help with relaxation, meditation, reading or deep sleep. Mostly consisting of instrumental ambient sounds, natural soundscapes and soft piano music, these mixes will help you completely relax your mind and body. Also available as online radio and through Alexa or Google smart speakers: CalmRadio.UpliftingPills.com",Music,4.5,276
zowp10ts,Batman: The Animated Podcast,"Welcome to an interview variety show for your ears hosted by Justin Michael. Each episode brings together a fan of Batman: The Animated Series or a special guest who worked on the TV show to discuss their favorite episodes from the legendary 90’s cartoon. Why? Because I love this show. You probably do, too.",TV & Film,4.6,257
5dk231qs,The Psychologists Are In with Maggie Lawson and Timothy Omundson,"Maggie Lawson and Timothy Omundson (aka Lassiter and Jules) are back at it again hosting the official Psych re-watch podcast. Each week they'll talk about your favorite episodes, share behind-the-scene stories, incredible memories, and have drop-in visits from their best friends and fellow cast-mates.",TV & Film,4.8,1700
snqdma0s,Guided Sleep Meditation & Sleep Hypnosis from Sleep Cove,"If you are one of the many people who can’t sleep, join us in listening to our Podcast. You’ll hear relaxing sleep hypnosis, guided sleep meditations and bedtime stories – all designed to help you relax and get a peaceful night’s sleep.",Health & Fitness,4.6,1700
1pq6dkl5,Opposing Bases: Air Traffic Talk,"RH and AG are two experienced air traffic controllers and pilots that host a weekly show answering listener questions, breaking down complex aviation topics, and relating their experiences to everyday occurrences in the national airspace system.  The hosts and guests do not represent the FAA or NATCA and express their own views and opinions.",Leisure,4.9,544
754nln40,Mean Girl,"""Best friends in your ear.” Worlds collide on this podcast when married, Alex Bennett and single, Jordyn Woodruff come together for honest conversations about sex, friendship, struggles, moving to a new city, and growing up. What can you expect as a listener? To laugh, relate, and feel like you’re catching up with your best friends.You can find every episode of this show on Apple Podcasts, Spotify or YouTube. Prime Members can listen ad-free on Amazon Music. For more, visit barstool.link/meangirlpod",Comedy,4.6,1800
p34ezktf,Let There Be House,"With over 60,000 iTunes downloads per month the Let There Be House is a podcast delivered every Monday featuring the latest releases from the label as well as the freshest tracks from around the world mixed by founder Glen Horsborough and resident Queen B. If you love the show please rate us and leave a review.For more info visit our website www.ltbh.co.uk Hosted on Acast. See acast.com/privacy for more information.",Music,4.7,50
l3z27806,The Handlebar podcast,Season 2 coming October 3rd. ❤️The handlebar podcast is conversations around questions that people are asking and giving ‘handlebars’ to hold onto as you move forward in the Faith. Episodes drop every Monday. ✌�,Religion & Spirituality,5.0,126
yz2wbpuu,The Rational Reminder Podcast,"A weekly reality check on sensible investing and financial decision-making, from two Canadians. Hosted by Benjamin Felix and Cameron Passmore, Portfolio Managers at PWL Capital.",Business,4.9,246
kvhoa2se,GFOA,Gain insight through research from the Government Finance Officers Association.,Government,4.5,12
cgl34ykt,ITS UP THERE PODCAST W/LOONEY,"Welcome to It's Up There Podcast With Looney, AKA BIG LOON! Loon strives to be a business leader for the culture. When he speaks about the podcast business, record label business and contracts, he does it with a level of understanding that your average consumer would not have. Being able to see through the smoke and mirrors within the industry and the industry tricks, people come to It’s Up There for a one of a kind perspective and to get a full breakdown. Tune in! Audio drops on Mondays and video drops on Thursdays!",Music,4.9,94
ajlctjeb,Crimetown,"Welcome to Crimetown, a series produced by Marc Smerling and Zac Stuart-Pontier in partnership with Gimlet Media. Each season, we investigate the culture of crime in a different city. In Season 2, Crimetown heads to the heart of the Rust Belt: Detroit, Michigan. From its heyday as Motor City to its rebirth as the Brooklyn of the Midwest, Detroit’s history reflects a series of issues that strike at the heart of American identity: race, poverty, policing, loss of industry, the war on drugs, and our universal desire for a savior. Detroit’s a tough town, and its residents are even tougher. They’ve weathered riots, a drug epidemic, political scandal, and innumerable other hardships, but they’re still here—and they have stories to tell.",News,4.7,13900
cl9gpt9w,Fresh Air,"Fresh Air from WHYY, the Peabody Award-winning weekday magazine of contemporary arts and issues, is one of public radio's most popular programs. Hosted by Terry Gross, the show features intimate conversations with today's biggest luminaries.Subscribe to Fresh Air Plus! You'll be supporting the unique show you can't get enough of - and you can listen sponsor-free. Learn more at plus.npr.org/freshair",Arts,4.3,30700
t40ybhgb,The Run-Up,Elections are about more than who wins and who loses. The New York Times reporter Astead Herndon takes us beyond the horse race to explore how we got to this fraught moment in American politics.,News,4.3,1100
zwbc7nnn,Crimes of the Centuries,"Crime is so commonplace that it takes something particularly shocking to be labelled the “crime of the century.” Even so, there are a lot of cases that have earned the distinction. In each episode of Crimes of the Centuries, award-winning journalist Amber Hunt will examine a case that’s lesser known today but was huge when it happened. The cases explored span the centuries and each left a mark. Some made history by changing laws. Others were so shocking they changed society.",True Crime,4.7,2800
1r65yam5,On the Media,"The Peabody Award-winning On the Media podcast is your guide to examining how the media sausage is made. Host Brooke Gladstone examines threats to free speech and government transparency, cast a skeptical eye on media coverage of the week’s big stories and unravel hidden political narratives in everything we read, watch and hear.",News,4.7,7700
oa4lzkru,Bring Birds Back,"A show about the joy of birds and the ways that humans can help them through simple, everyday actions.",Science,4.8,116
qva0jt86,Tin Foil Hat With Sam Tripoli,"Welcome to the Tin Foil Hat conspiracy podcast, with Sam Tripoli and his glorified interns XG and Johnny Woodard!",Comedy,4.7,7900
vw8xjo9t,NOAA: Diving Deeper,Diving Deeper is a bi-weekly program featuring discussions with NOS scientists on a wide variety of ocean topics.,Government,4.8,5
bnnl700a,World Alternative Media,"Once the fastest growing independent media in the world before being stifled by big tech, we now post on most independent platforms. We produce content prolifically. News, interviews, documentaries, confrontation and updates. Headed by Josh Sigurdson. WAM!",News,5.0,5
m71xkuo9,Oxventure - A Dungeons & Dragons Podcast,"The Oxventurers Guild presents a DnD real play podcast! Join Johnny Chiodini, Jane Douglas, Andy Farrant, Mike Channell, Ellen Rose and Luke Westaway for chit-chat and chaotic good times. The Oxventure Podcast brings you new commentary alongside audio versions of classic Oxventure Dungeons and Dragons sessions recorded for live shows, streams and the original video episodes published on YouTube channels Outside Xbox and Outside Xtra.",Leisure,5.0,612
s64v656n,Clinician's Brief: The Podcast,"Listen as host Alyssa Watson, DVM, talks with the authors of your favorite Clinician’s Brief articles. We’ll dig deeper and explore the conversations behind the content.",Science,4.4,83
oluq7v0h,Therapy as a Christian,"Therapy as a Christian Podcast is a show for all things mental health and Christ. We discuss how therapy can aid in helping us healing from our past and how God can assist us in that effort. We will discuss different topics, interviews, and reflection sessions from the host, Roslyn Rene, own therapy sessions.",Health & Fitness,4.9,424
tw6wusxe,Unsubscribe Podcast,"Unsubscribe from this Podcast. Gaming, Gats, and Guys, With @baddieStreams, @DonutOperator  and @Eli_doubletapALL OUR LINKS: https://linktr.ee/UnsubscribePodCast",Leisure,4.9,885
58czem0j,Curious Kid Podcast,Join Jacob and 9 year old Olivia as they learn fun and educational things.  They take on a new topic each episode with the goal of providing an educational and entertaining experience for listeners of all ages.  New episodes every Sunday!,Kids & Family,4.6,349
x7wg7e9s,Southern Mysteries Podcast,"Southern Mysteries explores history and mysteries of the American South. Each episode features a story that originates in a southern state. The show is unique in that subject matter varies with each new episode. From true crime to folklore and mysteries to legendary figures, you’ll hear a unique take on the story and the history behind it.",History,4.9,644
utglk4af,The Story Seeds Podcast,"Our Webby Award-nominated show matches kids ages 6-12 and their story ideas with diverse, beloved children's authors. Each episode chronicles the magic that grows through author-child collaboration and features an immersive story time read aloud by the author. Bonus episodes feature author interviews with our host Betsy Bird! As a Common Sense Media Seal Selection, our show is recognized as a great choice for kids and families for its engaging stories, valuable content, and diverse voices, characters, and messages and has received an A+ for educational value. Our show has also been featured in Wired, Time for Kids, Parents, The New York Times, and CBC and wasThe Week Junior magazine's 2020 Podcast of the Year. Our theme song and music is composed and performed by Andrew VanWyngarden, the Grammy-nominated singer/songwriter/musician and co-founder of MGMT. Our companion activity book ""Imagination Lab: Experiments in Creativity"" is a New York Times/Wirecutter ""Best Gift for 10 Year Olds"" pick. This podcast is a Literary Safari Production.",Kids & Family,4.3,186
i5fcedbo,TheThinkingAtheist,"Seth Andrews, a former Christian broadcaster and believer for 30 years, ultimately escaped the bonds of superstitious thinking to embrace the more satisfying explanations that science provides.  A professional video producer and host of one of the most popular atheist communities on the internet, Seth Andrews brings a polished format, a relaxed environment and a rage-free challenge to the religious beliefs that defined his youth.",Science,4.7,2500
bjjft7ut,Citadel Dispatch,An interactive show about bitcoin and freedom tech.100% audience funded. No ads or sponsors.,Technology,4.9,82
urk7fe34,Films To Be Buried With with Brett Goldstein,"We are born. We die. In between we watch a lot of films. And some of these films shape the people we are. This is a podcast about those films. (And a bit about death.)Join comedian, actor, writer and swimmer Brett Goldstein and an extra special weekly guest as they go all the way into life and death by way of movies, to ultimately pick their Films To Be Buried With! Support this show http://supporter.acast.com/filmstobeburiedwith. Hosted on Acast. See acast.com/privacy for more information.",TV & Film,4.9,1600
u09rn09u,Dear Hank & John,Hosts John and Hank Green (authors and YouTubers) offer both humorous and heartfelt advice about life’s big and small questions. They bring their personal passions to each episode by sharing the week’s news from Mars (the planet) and AFC Wimbledon (the fourth-tier English football club).,Society & Culture,4.9,6800
kvztcwu2,We're Having Gay Sex,"After 10 years of serial monogamy, comedian Ashley Gavin, trades in her u-haul for a life of sleeping around and documents every gritty detail of her queer experiments in this podcast. Always in fear of being cancelled, Ashley is aided by her queerest friends, Kate Sisk, known as the ""Cancel Coach"", and the ""Youth in the Soundbooth"" Gara Lonning, equipped with a gen-z themed soundboard, to call Ashley out on her BS. Together they interview people from all over the gender and sexuality spectrums (from straight to gay and cis to trans) about their sex lives. And yes straight people, you will find out what lesbian sex is.For advertising opportunities please email PodcastPartnerships@Studio71us.com   We wanna make the podcast even better, help us learn how we can: https://bit.ly/2EcYbu4  Privacy Policy: https://www.studio71.com/us/terms-and-conditions-use/#Privacy%20Policy",Comedy,4.9,2000
9r62ffew,Limelight,The Limelight podcast - for fiction and drama serials you won't want to miss from Radio 4. New series: The House That Vanished,Fiction,4.4,97
d3cko4j2,SelfHealers Soundboard,"The SELFHEALERS SOUNDBOARD is a global, community-based healing experience created by Dr. Nicole LePera and Jenna Weakland. Each week, we host raw, unscripted, open conversations about the things we are REALLY dealing with on the journey of facing our pasts and becoming our best Selves. Together, as community, we create resonance with “strangers” around the world as we collectively witness our own triggers, habits, traumas, and inherent wisdom. This is, and always will be, an ad free experience. Subscribe to our SelfHealers Soundboard YouTube channel to view these weekly podcasts with video and connect with us. New episodes every Sunday at 12 PM PST.",Health & Fitness,4.8,1700
hwlvk68z,John Mark Comer Teachings,"The teachings of Jesus lead us to a better, fuller life. This was true in the ancient world where Jesus first taught, and it’s still true today. But what does it mean to actually practice the way of Jesus in today’s complex, secular world? In this podcast by Practicing the Way, John Mark Comer responds to that important question through his teachings at Bridgetown Church in Portland, Oregon. Join us as John Mark provides practical insight on how you can be with Jesus, become like Him and do what He did wherever you are today.practicingtheway.org ( practicingtheway.org )",Religion & Spirituality,4.9,433
w5fxen70,American Contingency,"Welcome to the American Contingency Podcast. Each episode features a unique discussion led by members of the American Contingency community. Experts in all things preparedness join us each week to share their stories and provide insight into the changing culture. American Contingency's mission is to create and support a network of people and teams across the country who are prepared to respond and able to recover from difficult situations they, their families, or their communities may face. Join us on our preparedness journey.",Government,4.9,373
mq6bterc,Law of Code,"The Law of Code podcast focuses on the legal framework being built around blockchains, crypto, NFTs, and DAOs. We’ll look at crypto regulations, rights surrounding NFTs, as well as the legislation impacting blockchain.You’ll hear from the top lawyers, lawmakers, and entrepreneurs in the space – we’ll touch on best practices countries are implementing, new regulations, and share ideas on the best path forward.",Technology,5.0,8
yxhk1qm3,Cincinnati's Crime Vault | Beyond the Broadcast,"Cincinnati's Crime Vault is an award winning news series on FOX 19 Now.  This audio podcast will take the stories featured in the news beyond the broadcast. A team of journalists led by Jessica Schmidt will break down the assignment, the interviews, and the facts discovered as they work on each case.",True Crime,4.8,72
bpnfupzv,LeVar Burton Reads,"The best short fiction, handpicked by the best voice in podcasting. In every episode, host LeVar Burton (Roots, Reading Rainbow, Star Trek) invites you to take a break from your daily life, and dive into a great story. LeVar’s narration blends with gorgeous soundscapes to bring stories by Neil Gaiman, Haruki Murakami, Octavia Butler, Ray Bradbury and more to life. So, if you’re ready, let’s take a deep breath...",Arts,4.9,15500
j3p1u80n,The Wire at 20,"Few shows are as beloved as the HBO Original Series The Wire. In honor of its 20th anniversary, HBO is releasing a brand new podcast hosted by musician and actor Method Man and featuring revealing interviews with the show’s most memorable voices. Over eight episodes, the podcast will look back at David Simon’s sprawling five-season drama and unpack its complex themes, cultural influence, and ongoing legacy. The Wire at 20 podcast is produced by HBO and Campside Media. Stream all five seasons of The Wire now on HBO Max.",TV & Film,4.9,256
5eqdrd52,BiggerPockets Real Estate Podcast,"On the BiggerPockets Real Estate Podcast, co-hosts David Greene and Rob Abasolo interview real estate investors and entrepreneurs about successes, failures, and hard-earned lessons. Through in-depth conversations, 1-on-1 listener coaching calls, and news analysis, you’ll get a breakdown of real strategies that work for different niches and experience levels. Tune into the #1 real estate investing podcast every Tuesday, Thursday, and Sunday.",Business,4.8,15100
p5jtwb3l,The Stacks,"The Stacks is your one stop shop to talk books and reading. Guests will join the host, Traci Thomas for lively discussions about books and the ways they have shaped their lives, and they way we all understand culture, race, politics, and more. The last Wednesday of each month Traci and guest will break down a book in detail as part of The Stacks Book Club. Make sure to check the website www.thestackspodcast.com for more details, including upcoming The Stacks Book Club picks.",Arts,4.9,1500
c5hrdrtu,The Video Archives Podcast with Quentin Tarantino and Roger Avary,"Quentin Tarantino and Roger Avary invite you to become a customer at Video Archives, the store that started it all. Joined by their announcer Gala Avary, they’ll travel back in time to revisit old classics and discover new favorites, pulled from the actual VHS tapes that Quentin and Roger used to recommend to customers at the original Video Archives store in Manhattan Beach. From controversial James Bond films to surprising exploitation flicks, the duo will expose you to movies you didn't know you'd love, give awards to their favorites, and of course, rate the quality of the video transfer.",TV & Film,4.8,432
pk7pnmlo,Catalyst with Shayle Kann,"Investor Shayle Kann is asking big questions about how to decarbonize the planet: How cheap can clean energy get? Will artificial intelligence speed up climate solutions? Where is the smart money going into climate technologies? Every week on Catalyst, Shayle explains the world of ""climate tech"" with prominent experts, investors, researchers, and executives. The show is a co-production of Post Script Media and Canary Media.",Technology,5.0,147
nhb4o6ty,The History Chicks,Two women. Half the population. Several thousand years of history. About an hour.,History,4.7,6900
xgwbl8em,The Dark Paranormal,"True Stories, from terrified people. The darkest unexplained stories, direct from the source. Keep one eye open, or you may end up on the show. See acast.com/privacy for privacy and opt-out information.",Society & Culture,4.8,460
69gftii4,The Fasting Method Podcast,"The Fasting Method Podcast is your source for the science of intermittent fasting, offering the best advice and most compelling insight on what it takes to lose the weight for good.  Co-hosted by world-leading fasting experts, Megan Ramos, Nadia Pateguana, N.D., and Terri Lance, Ph.D., each episode takes a deep dive on a range of hot topics, and answers listeners' questions about fasting.",Health & Fitness,4.9,314
vefs1h6o,VERY DELTA,"Legendary Emmy Award-winning drag queen Delta Work (RuPaul’s Drag Race) hosts this Luxury Public Access Podcast and YouTube Talk Show where she looks gorgeous, welcomes very special guests, and goes off on important issues that are Very Delta, from good fast-food drive-through manners to the perfect “sexretary” shoe. Do you want to hear her go off? I think you want to hear her go off. Produced by Moguls of Media and the Forever Dog Podcast Network.",TV & Film,5.0,5
1ypgij14,State of the Union,"Hosted by CNN's Jake Tapper and Dana Bash, State of the Union features interviews with top newsmakers on politics and policy—covering Washington, the country, and the world.",News,3.4,1000
1axxmq84,The Gathering Pod,"Welcome to a virtual gathering that will kindle your curiosity and soothe your soul! Join Martha Beck for the podcast edition of her weekly Facebook event, and listen in as she touches on a spirituality or personal growth topic that’s on her mind. You'll also hear the lively conversation that follows as Martha opens the floor to questions from the live viewers. With topics ranging from courage to creativity, purpose to intuition, these discussions will engage and support you on your journey to self-knowledge. Ready to connect with a community of like-minded seekers? Welcome to the Gathering Pod.",Education,4.9,260
cxzlmfst,Akademiks Twitch Clips,"Akademiks Twitch Clips, These clips are not owned by this channel. These clips are from Dj Akademiks Twitch Stream. Dj Akademiks gives hip-hop commentary and breaking news over on his twitch channel. Here you can get all the highlights you might have missed. Support this podcast: https://anchor.fm/akademikstwitchclips/support",Music,3.3,117
br2p09pg,American Scandal,"Every scandal begins with a lie. But the truth will come out. And then comes the fallout and the outrage.Scandals have shaped America since its founding. From business and politics to sports and society, we look on aghast as corruption, deceit and ambition bring down heroes and celebrities, politicians and moguls. And when the dust finally settles, we’re left to wonder: how did this happen? Where did they trip up, and who is to blame? From the creators of American History Tellers, Business Wars and Tides of History comes American Scandal, where we take you deep into the heart of America’s dark side to look at what drives someone to break the rules and what happens when they’re caught. Hosted by Lindsay Graham.New episodes come out every Tuesday for free, with 1-week early access for Wondery+ subscribers. Get all episodes - including exclusive seasons - ad-free on Wondery+ or on Amazon Music with a Prime membership or Amazon Music Unlimited subscription.",History,4.6,15500
kt9pmfdr,Hard Fork,"“Hard Fork” is a show about the future that’s already here. Each week, journalists Kevin Roose and Casey Newton explore and make sense of the latest in the rapidly changing world of tech.",Technology,4.3,3400
5fl0rk90,The Fox News Rundown,"The FOX News Rundown is the place to find in-depth reporting on the news that impacts you. Each morning, Mike Emanuel, Dave Anthony, Lisa Brady, Jessica Rosenthal and Chris Foster take a deep dive into the major and controversial stories of the day, tapping into the massive reporting resources of FOX News to provide a full picture of the news.  Plus, every evening The FOX News Rundown: War On Ukraine brings you up to date reporting and analysis on the crisis unfolding in that country and on the weekend, you’ll hear everything that’s going on in the beltway with The FOX News Rundown: From Washington and special uncut, unedited interviews with The FOX News Rundown: Extra.  Each day The FOX News Rundown features insight from top newsmakers, along with FOX News reporters and contributors, plus a daily commentary on a significant issue of the day. Check us out twice a day, every day.FOX News Rundown: War On Ukraine:With Russia launching a full-scale invasion against its sovereign neighbor, The FOX News Rundown is there to provide in-depth coverage on the conflict. Every evening The FOX News Rundown: War On Ukraine provides up to date reporting and analysis on the crisis unfolding in that country. With insight from experts and reporting from correspondents on the ground, The FOX News Rundown brings you everything you need to know about the armed conflict.",News,3.5,1300
